customer_id,customer_name,customer_address,phone_number,email,valid_from,valid_to
1007,Robert Johnson,"574 Patel Drive Apt. 043
Jonesville, TX 54199",001-927-927-7643x34711,danielbrown@west.com,2022-09-26,9999-12-31
1093,Eric Glenn,"2560 Christian Junctions
North Shane, CA 88681",001-944-838-5681,tarabradley@jones.com,2023-06-21,9999-12-31
1081,Scott Jones,"591 Richard Lodge Suite 568
New John, HI 87997",239.669.1888x6136,nicolefisher@miller.com,2022-10-19,9999-12-31
1036,Kimberly Garza,"USNS Reilly
FPO AP 52950",8095911248,sdavis@gmail.com,2022-11-12,9999-12-31
1022,Thomas Mathis,"2386 Parker Mountain
East Sharonmouth, IL 15940",+1-871-965-0054,jennifer65@gmail.com,2023-02-04,9999-12-31
1062,Steven Steele,"6203 Smith Forest
Lake Crystalchester, CA 67075",(253)242-6269x1355,johnsonannette@wallace-griffith.com,2022-11-12,9999-12-31
1021,Nicholas Anderson,"578 Hill Village Suite 210
Evansbury, UT 95568",008-256-3946,mavery@baker-ayala.com,2023-01-09,9999-12-31
1037,Richard Owens,"2941 Nicole Extensions
Jeffreyport, OH 42853",001-874-094-3134x8557,jfields@stone.com,2023-02-22,9999-12-31
1047,Nina Weeks,"4250 Burns Forges Suite 922
West Christopher, SC 88814",574-638-3211x5713,ohowell@berry.com,2023-03-31,9999-12-31
1099,Steven Mathews,"4536 Michele Village Suite 277
North Tracy, NV 18979",522-742-2881x05998,thomaserica@yahoo.com,2022-11-07,9999-12-31
1049,Heather Reyes,"6640 Lopez Bridge Suite 704
South Craig, DC 35590",207-774-3705x056,scottphillips@walker-fowler.info,2022-12-01,9999-12-31
1033,Jennifer Keith,"8910 Lisa Fields Suite 988
South Kevinside, KY 08054",(601)739-7151,jasmine96@williams.biz,2023-03-11,9999-12-31
1006,Kathleen Thompson,"8405 Rodriguez Viaduct Apt. 520
Carterton, IL 81631",(102)681-5777x90986,klevy@williamson.com,2023-01-11,9999-12-31
1057,Lori Martinez,"67540 Katherine Passage
East Patrickhaven, MD 99928",001-527-829-8855x641,daniellelin@mills-garcia.com,2022-11-15,9999-12-31
1042,Donna Miller,"52347 Hunt Path
New Dwayne, DE 13255",+1-060-502-5300x788,shannonhayden@garcia-wolf.com,2023-01-22,9999-12-31
1078,Robert Smith,"0842 White Rapid Apt. 888
Melodyburgh, WA 23182",480-845-2524x4108,gregorysparks@gmail.com,2022-07-29,9999-12-31
1008,Jason Gray,"470 Lynch Estates
Warrenstad, NV 41388",001-369-292-9008,evaughn@hotmail.com,2022-07-28,9999-12-31
